[Header]
TITLE,MPMS DC Measurement
BYAPP,MPMS Measurement,2.1,Summary
FILEOPENTIME, 1363866538.437000 3/21/2013, 11:48:58 AM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.56,  Build 67

INFO, NAME, C2-106
INFO, WEIGHT, 30.310
INFO, AREA, 1.000
INFO, LENGTH, 1.000
INFO, SHAPE, 0
INFO, COMMENT, no eico
INFO, SEQUENCE FILE: StdDC_Mag_long_matched.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,15,16,17,18,27,28
FIELDGROUP,Transverse,1,2,3,4,10,11,12,13,14,19,20,21,22,27,28

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Algorithm,Long Reg Fit,Long Percent Error (%),Trans Moment (emu),Trans Scan Std Dev,Trans Algorithm,Trans Reg Fit,Trans Percent Error (%),Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Long Percent Error [w/o ABS] (%),Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],Trans Percent Error [w/o ABS] (%),Points per Scan,Scans per Measurement,Scan Length (cm),Delta Temp (K),Rot Position (deg),Error,EC Comp. Running,Using ABS,
1363866538.437,,1.000000e+003,3.000012e+002,2.641687e-004,1.269483e-007,3,9.839422e-001,4.805579e-002,,,,,,,,,,,,,,24,3,4.000000e+000,5.941772e-002,0.000000e+000,0,,0,
1363867081.562,,1.000000e+003,2.901331e+002,2.761713e-004,1.298353e-006,3,9.836988e-001,4.701262e-001,,,,,,,,,,,,,,24,3,4.000000e+000,1.665955e-001,0.000000e+000,0,,0,
1363867391.312,,1.000000e+003,2.795722e+002,2.869516e-004,1.717823e-006,3,9.841902e-001,5.986455e-001,,,,,,,,,,,,,,24,3,4.000000e+000,4.226990e-001,0.000000e+000,0,,0,
1363867677.625,,1.000000e+003,2.695603e+002,2.981233e-004,1.795922e-006,3,9.853511e-001,6.024090e-001,,,,,,,,,,,,,,24,3,4.000000e+000,4.118958e-001,0.000000e+000,0,,0,
1363867964.859,,1.000000e+003,2.595686e+002,3.101842e-004,1.915143e-006,3,9.857585e-001,6.174213e-001,,,,,,,,,,,,,,24,3,4.000000e+000,4.351196e-001,0.000000e+000,0,,0,
1363868275.046,,1.000000e+003,2.496313e+002,3.223425e-004,1.878296e-006,3,9.853122e-001,5.827017e-001,,,,,,,,,,,,,,24,3,4.000000e+000,3.706055e-001,0.000000e+000,0,,0,
1363868591.312,,1.000000e+003,2.396853e+002,3.365056e-004,2.096777e-006,3,9.856197e-001,6.231031e-001,,,,,,,,,,,,,,24,3,4.000000e+000,3.807068e-001,0.000000e+000,0,,0,
1363868919.171,,1.000000e+003,2.297165e+002,3.512102e-004,1.880106e-006,3,9.863098e-001,5.353221e-001,,,,,,,,,,,,,,24,3,4.000000e+000,2.875977e-001,0.000000e+000,0,,0,
1363869241.296,,1.000000e+003,2.197274e+002,3.683802e-004,2.357402e-006,3,9.868426e-001,6.399371e-001,,,,,,,,,,,,,,24,3,4.000000e+000,3.482971e-001,0.000000e+000,0,,0,
1363869581.546,,1.000000e+003,2.097627e+002,3.857620e-004,2.091015e-006,3,9.871159e-001,5.420479e-001,,,,,,,,,,,,,,24,3,4.000000e+000,2.541046e-001,0.000000e+000,0,,0,
