[Header]
TITLE,MPMS DC Measurement
BYAPP,MPMS Measurement,2.1,Summary
FILEOPENTIME, 1363894138.828000 3/21/2013, 7:28:58 PM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.56,  Build 67

INFO, NAME, C2-121
INFO, WEIGHT, 30.420
INFO, AREA, 1.000
INFO, LENGTH, 1.000
INFO, SHAPE, 0
INFO, COMMENT, no eico
INFO, SEQUENCE FILE: StdDC_Mag_long_matched.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,15,16,17,18,27,28
FIELDGROUP,Transverse,1,2,3,4,10,11,12,13,14,19,20,21,22,27,28

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Algorithm,Long Reg Fit,Long Percent Error (%),Trans Moment (emu),Trans Scan Std Dev,Trans Algorithm,Trans Reg Fit,Trans Percent Error (%),Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Long Percent Error [w/o ABS] (%),Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],Trans Percent Error [w/o ABS] (%),Points per Scan,Scans per Measurement,Scan Length (cm),Delta Temp (K),Rot Position (deg),Error,EC Comp. Running,Using ABS,
1363894138.812,,1.000000e+003,3.000210e+002,2.631072e-004,1.653143e-007,3,9.832511e-001,6.283153e-002,,,,,,,,,,,,,,24,3,4.000000e+000,1.069946e-001,0.000000e+000,0,,0,
1363894683.562,,1.000000e+003,2.901090e+002,2.752371e-004,1.267102e-006,3,9.845164e-001,4.603673e-001,,,,,,,,,,,,,,24,3,4.000000e+000,1.665955e-001,0.000000e+000,0,,0,
1363894995.375,,1.000000e+003,2.796014e+002,2.857182e-004,1.297168e-006,3,9.855614e-001,4.540025e-001,,,,,,,,,,,,,,24,3,4.000000e+000,4.640808e-001,0.000000e+000,0,,0,
1363895302.562,,1.000000e+003,2.696162e+002,2.963009e-004,1.501770e-006,3,9.860479e-001,5.068395e-001,,,,,,,,,,,,,,24,3,4.000000e+000,3.736877e-001,0.000000e+000,0,,0,
1363895628.062,,1.000000e+003,2.596455e+002,3.077052e-004,1.470813e-006,3,9.854177e-001,4.779944e-001,,,,,,,,,,,,,,24,3,4.000000e+000,3.731995e-001,0.000000e+000,0,,0,
1363895938.203,,1.000000e+003,2.496382e+002,2.993432e-004,3.561445e-005,3,9.227441e-001,1.189753e+001,,,,,,,,,,,,,,24,3,4.000000e+000,3.952942e-001,0.000000e+000,0,,0,
1363896256.546,,1.000000e+003,2.396853e+002,3.339023e-004,1.647656e-006,3,9.870500e-001,4.934546e-001,,,,,,,,,,,,,,24,3,4.000000e+000,3.121948e-001,0.000000e+000,0,,0,
1363896576.515,,1.000000e+003,2.297142e+002,3.493311e-004,1.862362e-006,3,9.876998e-001,5.331224e-001,,,,,,,,,,,,,,24,3,4.000000e+000,3.578949e-001,0.000000e+000,0,,0,
1363896910.421,,1.000000e+003,2.197510e+002,3.646554e-004,1.848454e-006,3,9.873268e-001,5.069044e-001,,,,,,,,,,,,,,24,3,4.000000e+000,2.774048e-001,0.000000e+000,0,,0,
1363897242.437,,1.000000e+003,2.097884e+002,3.831108e-004,2.132966e-006,3,9.872270e-001,5.567490e-001,,,,,,,,,,,,,,24,3,4.000000e+000,3.427887e-001,0.000000e+000,0,,0,
1363897586.953,,1.000000e+003,1.998092e+002,4.020491e-004,2.116321e-006,3,9.881535e-001,5.263837e-001,,,,,,,,,,,,,,24,3,4.000000e+000,2.534027e-001,0.000000e+000,0,,0,
1363897924.171,,1.000000e+003,1.898500e+002,4.241036e-004,2.489292e-006,3,9.888785e-001,5.869537e-001,,,,,,,,,,,,,,24,3,4.000000e+000,3.184052e-001,0.000000e+000,0,,0,
1363898254.937,,1.000000e+003,1.798685e+002,4.481032e-004,2.552165e-006,3,9.892383e-001,5.695485e-001,,,,,,,,,,,,,,24,3,4.000000e+000,2.480011e-001,0.000000e+000,0,,0,
1363898588.906,,1.000000e+003,1.699050e+002,4.745787e-004,2.812007e-006,3,9.886606e-001,5.925270e-001,,,,,,,,,,,,,,24,3,4.000000e+000,2.192078e-001,0.000000e+000,0,,0,
1363898919.312,,1.000000e+003,1.599159e+002,5.052185e-004,3.035693e-006,3,9.888408e-001,6.008673e-001,,,,,,,,,,,,,,24,3,4.000000e+000,2.209930e-001,0.000000e+000,0,,0,
1363899254.609,,1.000000e+003,1.499536e+002,5.394226e-004,3.318484e-006,3,9.899402e-001,6.151919e-001,,,,,,,,,,,,,,24,3,4.000000e+000,1.743927e-001,0.000000e+000,0,,0,
1363899585.828,,1.000000e+003,1.399591e+002,5.785578e-004,3.567550e-006,3,9.904011e-001,6.166281e-001,,,,,,,,,,,,,,24,3,4.000000e+000,1.625061e-001,0.000000e+000,0,,0,
1363899917.812,,1.000000e+003,1.299631e+002,6.237763e-004,4.012456e-006,3,9.907129e-001,6.432525e-001,,,,,,,,,,,,,,24,3,4.000000e+000,1.578979e-001,0.000000e+000,0,,0,
1363900248.328,,1.000000e+003,1.199750e+002,6.753811e-004,4.448241e-006,3,9.907038e-001,6.586269e-001,,,,,,,,,,,,,,24,3,4.000000e+000,1.238022e-001,0.000000e+000,0,,0,
1363900572.453,,1.000000e+003,1.099709e+002,7.378061e-004,4.842335e-006,3,9.903889e-001,6.563153e-001,,,,,,,,,,,,,,24,3,4.000000e+000,1.019974e-001,0.000000e+000,0,,0,
1363900890.562,,1.000000e+003,9.998096e+001,8.126308e-004,5.420716e-006,3,9.907794e-001,6.670577e-001,,,,,,,,,,,,,,24,3,4.000000e+000,1.044769e-001,0.000000e+000,0,,0,
1363901247.218,,1.000000e+003,9.005127e+001,8.913600e-004,6.185775e-007,3,9.915591e-001,6.939705e-002,,,,,,,,,,,,,,24,3,4.000000e+000,3.054810e-002,0.000000e+000,0,,0,
1363901568.296,,1.000000e+003,8.006075e+001,1.007283e-003,6.140401e-006,3,9.921398e-001,6.096001e-001,,,,,,,,,,,,,,24,3,4.000000e+000,2.477264e-002,0.000000e+000,0,,0,
1363901861.453,,1.000000e+003,7.497202e+001,1.071652e-003,4.195815e-006,3,9.924977e-001,3.915276e-001,,,,,,,,,,,,,,24,3,4.000000e+000,1.025848e-001,0.000000e+000,0,,0,
1363902180.187,,1.000000e+003,7.005045e+001,1.145629e-003,2.725713e-006,3,9.928324e-001,2.379229e-001,,,,,,,,,,,,,,24,3,4.000000e+000,2.909851e-002,0.000000e+000,0,,0,
1363902427.437,,1.000000e+003,6.506603e+001,1.235542e-003,4.597030e-006,3,9.929469e-001,3.720657e-001,,,,,,,,,,,,,,24,3,4.000000e+000,1.412964e-002,0.000000e+000,0,,0,
1363902665.953,,1.000000e+003,6.006697e+001,1.337154e-003,4.060283e-006,3,9.931101e-001,3.036512e-001,,,,,,,,,,,,,,24,3,4.000000e+000,8.529663e-003,0.000000e+000,0,,0,
1363902941.078,,1.000000e+003,5.505626e+001,1.455886e-003,1.736816e-006,3,9.933372e-001,1.192961e-001,,,,,,,,,,,,,,24,3,4.000000e+000,3.739929e-002,0.000000e+000,0,,0,
1363903166.312,,1.000000e+003,5.004541e+001,1.599779e-003,2.426018e-006,3,9.934066e-001,1.516471e-001,,,,,,,,,,,,,,24,3,4.000000e+000,4.537964e-002,0.000000e+000,0,,0,
1363903390.328,,1.000000e+003,4.503080e+001,1.774663e-003,1.159375e-006,3,9.934881e-001,6.532934e-002,,,,,,,,,,,,,,24,3,4.000000e+000,2.299881e-002,0.000000e+000,0,,0,
1363903660.625,,1.000000e+003,3.999695e+001,1.993113e-003,1.575944e-007,3,9.935348e-001,7.906944e-003,,,,,,,,,,,,,,24,3,4.000000e+000,4.849243e-002,0.000000e+000,0,,0,
1363903887.078,,1.000000e+003,3.499979e+001,2.274635e-003,3.853461e-007,3,9.934919e-001,1.694101e-002,,,,,,,,,,,,,,24,3,4.000000e+000,1.265335e-002,0.000000e+000,0,,0,
1363904109.062,,1.000000e+003,3.000589e+001,2.646065e-003,1.489539e-006,3,9.934735e-001,5.629263e-002,,,,,,,,,,,,,,24,3,4.000000e+000,3.871918e-002,0.000000e+000,0,,0,
1363904296.578,,1.000000e+003,2.799541e+001,2.833466e-003,1.993882e-007,3,9.934733e-001,7.036901e-003,,,,,,,,,,,,,,24,3,4.000000e+000,5.369186e-003,0.000000e+000,0,,0,
1363904480.937,,1.000000e+003,2.599475e+001,3.047084e-003,4.295448e-007,3,9.935541e-001,1.409691e-002,,,,,,,,,,,,,,24,3,4.000000e+000,1.974869e-002,0.000000e+000,0,,0,
1363904684.046,,1.000000e+003,2.399059e+001,3.297269e-003,1.531627e-006,3,9.935527e-001,4.645139e-002,,,,,,,,,,,,,,24,3,4.000000e+000,1.453018e-002,0.000000e+000,0,,0,
1363904863.156,,1.000000e+003,2.206791e+001,3.577330e-003,3.148007e-006,3,9.935784e-001,8.799879e-002,,,,,,,,,,,,,,24,3,4.000000e+000,6.378937e-002,0.000000e+000,0,,0,
1363905044.562,,1.000000e+003,2.005804e+001,3.927137e-003,2.256777e-006,3,9.936094e-001,5.746622e-002,,,,,,,,,,,,,,24,3,4.000000e+000,2.218819e-002,0.000000e+000,0,,0,
1363905218.031,,1.000000e+003,1.804883e+001,4.352368e-003,2.959564e-006,3,9.936376e-001,6.799893e-002,,,,,,,,,,,,,,24,3,4.000000e+000,2.318001e-002,0.000000e+000,0,,0,
