[Header]
TITLE,MPMS DC Measurement
BYAPP,MPMS Measurement,2.1,Summary
FILEOPENTIME, 1357729182.234000 1/9/2013, 10:59:42 AM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.56,  Build 67

INFO, NAME, C2-107
INFO, WEIGHT, 21.240
INFO, AREA, 1.000
INFO, LENGTH, 1.000
INFO, SHAPE, 0
INFO, COMMENT, JPSW, gel cap, with tape, no eico
INFO, SEQUENCE FILE: StdDC_Mag_short_matched.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,15,16,17,18,27,28
FIELDGROUP,Transverse,1,2,3,4,10,11,12,13,14,19,20,21,22,27,28

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Algorithm,Long Reg Fit,Long Percent Error (%),Trans Moment (emu),Trans Scan Std Dev,Trans Algorithm,Trans Reg Fit,Trans Percent Error (%),Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Long Percent Error [w/o ABS] (%),Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],Trans Percent Error [w/o ABS] (%),Points per Scan,Scans per Measurement,Scan Length (cm),Delta Temp (K),Rot Position (deg),Error,EC Comp. Running,Using ABS,
1357729182.234,,1.000000e+003,2.999944e+002,1.802660e-004,4.709848e-008,3,9.785087e-001,2.612721e-002,,,,,,,,,,,,,,24,3,4.000000e+000,1.202393e-002,0.000000e+000,0,,0,
1357729730.609,,1.000000e+003,2.901457e+002,1.890264e-004,1.027296e-006,3,9.800830e-001,5.434667e-001,,,,,,,,,,,,,,24,3,4.000000e+000,1.777039e-001,0.000000e+000,0,,0,
1357730032.296,,1.000000e+003,2.795913e+002,1.966082e-004,1.195012e-006,3,9.808405e-001,6.078137e-001,,,,,,,,,,,,,,24,3,4.000000e+000,4.640198e-001,0.000000e+000,0,,0,
1357730328.734,,1.000000e+003,2.696073e+002,2.043141e-004,1.090222e-006,3,9.814146e-001,5.336009e-001,,,,,,,,,,,,,,24,3,4.000000e+000,4.120178e-001,0.000000e+000,0,,0,
1357730623.484,,1.000000e+003,2.595963e+002,2.129493e-004,1.235244e-006,3,9.807294e-001,5.800651e-001,,,,,,,,,,,,,,24,3,4.000000e+000,4.175110e-001,0.000000e+000,0,,0,
1357730926.359,,1.000000e+003,2.496356e+002,2.220221e-004,1.408312e-006,3,9.817772e-001,6.343116e-001,,,,,,,,,,,,,,24,3,4.000000e+000,3.542023e-001,0.000000e+000,0,,0,
1357731248.734,,1.000000e+003,2.396795e+002,2.318359e-004,1.282929e-006,3,9.824391e-001,5.533780e-001,,,,,,,,,,,,,,24,3,4.000000e+000,3.502045e-001,0.000000e+000,0,,0,
1357731580.109,,1.000000e+003,2.297328e+002,2.426758e-004,1.410318e-006,3,9.829491e-001,5.811532e-001,,,,,,,,,,,,,,24,3,4.000000e+000,3.298035e-001,0.000000e+000,0,,0,
1357731917.312,,1.000000e+003,2.197653e+002,2.504455e-004,7.175866e-006,3,9.067295e-001,2.865240e+000,,,,,,,,,,,,,,24,3,4.000000e+000,3.097076e-001,0.000000e+000,0,,0,
1357732238.125,,1.000000e+003,2.097911e+002,2.678751e-004,1.814100e-006,3,9.830782e-001,6.772184e-001,,,,,,,,,,,,,,24,3,4.000000e+000,3.249969e-001,0.000000e+000,0,,0,
1357732549.750,,1.000000e+003,1.997835e+002,2.821790e-004,1.782363e-006,3,9.841617e-001,6.316428e-001,,,,,,,,,,,,,,24,3,4.000000e+000,2.964935e-001,0.000000e+000,0,,0,
1357732866.500,,1.000000e+003,1.898140e+002,2.980485e-004,1.961252e-006,3,9.847468e-001,6.580312e-001,,,,,,,,,,,,,,24,3,4.000000e+000,2.938080e-001,0.000000e+000,0,,0,
1357733187.484,,1.000000e+003,1.798586e+002,3.155428e-004,2.038028e-006,3,9.850041e-001,6.458799e-001,,,,,,,,,,,,,,24,3,4.000000e+000,2.834015e-001,0.000000e+000,0,,0,
1357733513.875,,1.000000e+003,1.699032e+002,3.313967e-004,7.613381e-006,3,9.280021e-001,2.297362e+000,,,,,,,,,,,,,,24,3,4.000000e+000,2.431030e-001,0.000000e+000,0,,0,
1357733839.859,,1.000000e+003,1.599290e+002,3.581486e-004,2.111055e-006,3,9.851668e-001,5.894353e-001,,,,,,,,,,,,,,24,3,4.000000e+000,2.282104e-001,0.000000e+000,0,,0,
1357734169.609,,1.000000e+003,1.499552e+002,4.125830e-004,4.747053e-005,3,9.189646e-001,1.150569e+001,,,,,,,,,,,,,,24,3,4.000000e+000,1.965027e-001,0.000000e+000,0,,0,
1357734577.359,,1.000000e+003,1.400548e+002,4.104202e-004,2.165026e-007,3,9.865906e-001,5.275144e-002,,,,,,,,,,,,,,24,3,4.000000e+000,2.520752e-002,0.000000e+000,0,,0,
1357734907.984,,1.000000e+003,1.299915e+002,4.050696e-004,7.548385e-005,3,8.815503e-001,1.863478e+001,,,,,,,,,,,,,,24,3,4.000000e+000,1.233063e-001,0.000000e+000,0,,0,
1357735232.593,,1.000000e+003,1.199837e+002,4.634926e-004,5.361461e-005,3,9.199634e-001,1.156752e+001,,,,,,,,,,,,,,24,3,4.000000e+000,1.365967e-001,0.000000e+000,0,,0,
1357735551.250,,1.000000e+003,1.099897e+002,5.351775e-004,3.747180e-006,3,9.866874e-001,7.001751e-001,,,,,,,,,,,,,,24,3,4.000000e+000,1.091995e-001,0.000000e+000,0,,0,
1357735861.375,,1.000000e+003,9.999012e+001,5.932458e-004,4.428687e-006,3,9.873630e-001,7.465180e-001,,,,,,,,,,,,,,24,3,4.000000e+000,8.297729e-002,0.000000e+000,0,,0,
1357736167.109,,1.000000e+003,9.000759e+001,6.637857e-004,4.909803e-006,3,9.879966e-001,7.396669e-001,,,,,,,,,,,,,,24,3,4.000000e+000,9.154510e-002,0.000000e+000,0,,0,
1357736480.328,,1.000000e+003,8.005636e+001,7.784432e-004,4.305018e-005,3,9.707031e-001,5.530292e+000,,,,,,,,,,,,,,24,3,4.000000e+000,3.098297e-002,0.000000e+000,0,,0,
