[Header]
TITLE,MPMS DC Measurement
BYAPP,MPMS Measurement,2.1,Summary
FILEOPENTIME, 1357815014.203000 1/10/2013, 10:50:14 AM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.56,  Build 67

INFO, NAME, C2-105
INFO, WEIGHT, 30.510
INFO, AREA, 1.000
INFO, LENGTH, 1.000
INFO, SHAPE, 0
INFO, COMMENT, JPSW, gel cap, with tape, no eico
INFO, SEQUENCE FILE: StdDC_Mag_short_matched.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,15,16,17,18,27,28
FIELDGROUP,Transverse,1,2,3,4,10,11,12,13,14,19,20,21,22,27,28

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Algorithm,Long Reg Fit,Long Percent Error (%),Trans Moment (emu),Trans Scan Std Dev,Trans Algorithm,Trans Reg Fit,Trans Percent Error (%),Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Long Percent Error [w/o ABS] (%),Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],Trans Percent Error [w/o ABS] (%),Points per Scan,Scans per Measurement,Scan Length (cm),Delta Temp (K),Rot Position (deg),Error,EC Comp. Running,Using ABS,
1357815014.203,,1.000000e+003,3.000043e+002,3.210683e-004,1.998712e-007,3,9.861996e-001,6.225191e-002,,,,,,,,,,,,,,24,3,4.000000e+000,2.368164e-002,0.000000e+000,0,,0,
1357815561.015,,1.000000e+003,2.901253e+002,3.345944e-004,1.364243e-006,3,9.868219e-001,4.077303e-001,,,,,,,,,,,,,,24,3,4.000000e+000,1.221924e-001,0.000000e+000,0,,0,
1357815885.109,,1.000000e+003,2.796394e+002,3.452188e-004,1.403370e-006,3,9.865462e-001,4.065161e-001,,,,,,,,,,,,,,24,3,4.000000e+000,4.332886e-001,0.000000e+000,0,,0,
1357816200.875,,1.000000e+003,2.696232e+002,3.571023e-004,1.577509e-006,3,9.864342e-001,4.417527e-001,,,,,,,,,,,,,,24,3,4.000000e+000,4.216003e-001,0.000000e+000,0,,0,
1357816523.125,,1.000000e+003,2.596540e+002,3.699043e-004,1.654202e-006,3,9.876168e-001,4.471973e-001,,,,,,,,,,,,,,24,3,4.000000e+000,3.197937e-001,0.000000e+000,0,,0,
1357816828.859,,1.000000e+003,2.496465e+002,3.839454e-004,1.974013e-006,3,9.880077e-001,5.141388e-001,,,,,,,,,,,,,,24,3,4.000000e+000,4.035950e-001,0.000000e+000,0,,0,
1357817139.109,,1.000000e+003,2.396554e+002,3.981347e-004,1.797039e-006,3,9.880050e-001,4.513647e-001,,,,,,,,,,,,,,24,3,4.000000e+000,3.273926e-001,0.000000e+000,0,,0,
1357817475.453,,1.000000e+003,2.297176e+002,4.137723e-004,1.927710e-006,3,9.875389e-001,4.658867e-001,,,,,,,,,,,,,,24,3,4.000000e+000,3.507996e-001,0.000000e+000,0,,0,
1357817794.734,,1.000000e+003,2.197449e+002,4.317478e-004,2.301091e-006,3,9.883869e-001,5.329711e-001,,,,,,,,,,,,,,24,3,4.000000e+000,3.612061e-001,0.000000e+000,0,,0,
1357818125.609,,1.000000e+003,2.097694e+002,4.500910e-004,2.190349e-006,3,9.890013e-001,4.866457e-001,,,,,,,,,,,,,,24,3,4.000000e+000,2.894897e-001,0.000000e+000,0,,0,
1357818452.375,,1.000000e+003,1.998150e+002,4.717511e-004,2.663695e-006,3,9.893398e-001,5.646400e-001,,,,,,,,,,,,,,24,3,4.000000e+000,3.450012e-001,0.000000e+000,0,,0,
1357818819.250,,1.000000e+003,1.899332e+002,4.919556e-004,1.188859e-006,3,9.886510e-001,2.416598e-001,,,,,,,,,,,,,,24,3,4.000000e+000,2.695007e-001,0.000000e+000,0,,0,
1357819142.000,,1.000000e+003,1.798674e+002,5.206009e-004,3.205674e-006,3,9.888135e-001,6.157642e-001,,,,,,,,,,,,,,24,3,4.000000e+000,3.188019e-001,0.000000e+000,0,,0,
1357819460.375,,1.000000e+003,1.698667e+002,5.489867e-004,3.186198e-006,3,9.897726e-001,5.803779e-001,,,,,,,,,,,,,,24,3,4.000000e+000,2.391052e-001,0.000000e+000,0,,0,
1357819784.906,,1.000000e+003,1.599177e+002,5.809521e-004,3.457337e-006,3,9.902553e-001,5.951157e-001,,,,,,,,,,,,,,24,3,4.000000e+000,2.389069e-001,0.000000e+000,0,,0,
1357820109.140,,1.000000e+003,1.499393e+002,6.180709e-004,3.761829e-006,3,9.906501e-001,6.086404e-001,,,,,,,,,,,,,,24,3,4.000000e+000,1.806946e-001,0.000000e+000,0,,0,
1357820433.625,,1.000000e+003,1.399516e+002,6.593336e-004,4.075836e-006,3,9.901674e-001,6.181751e-001,,,,,,,,,,,,,,24,3,4.000000e+000,1.512909e-001,0.000000e+000,0,,0,
1357820760.875,,1.000000e+003,1.299767e+002,7.072469e-004,4.479760e-006,3,9.899302e-001,6.334082e-001,,,,,,,,,,,,,,24,3,4.000000e+000,1.381073e-001,0.000000e+000,0,,0,
1357821082.359,,1.000000e+003,1.199802e+002,7.632175e-004,4.860830e-006,3,9.905158e-001,6.368867e-001,,,,,,,,,,,,,,24,3,4.000000e+000,1.195984e-001,0.000000e+000,0,,0,
1357821400.500,,1.000000e+003,1.099873e+002,8.297230e-004,5.426790e-006,3,9.913054e-001,6.540484e-001,,,,,,,,,,,,,,24,3,4.000000e+000,9.829712e-002,0.000000e+000,0,,0,
1357821714.109,,1.000000e+003,9.999268e+001,9.090043e-004,5.927071e-006,3,9.916447e-001,6.520400e-001,,,,,,,,,,,,,,24,3,4.000000e+000,1.106033e-001,0.000000e+000,0,,0,
1357822039.234,,1.000000e+003,9.003556e+001,9.956985e-004,2.173060e-006,3,9.919912e-001,2.182447e-001,,,,,,,,,,,,,,24,3,4.000000e+000,8.900452e-002,0.000000e+000,0,,0,
1357822357.828,,1.000000e+003,8.005774e+001,1.117451e-003,5.941392e-006,3,9.919737e-001,5.316916e-001,,,,,,,,,,,,,,24,3,4.000000e+000,2.064514e-002,0.000000e+000,0,,0,
1357822648.359,,1.000000e+003,7.497659e+001,1.187007e-003,4.356688e-006,3,9.918669e-001,3.670313e-001,,,,,,,,,,,,,,24,3,4.000000e+000,8.425903e-002,0.000000e+000,0,,0,
1357822966.484,,1.000000e+003,7.004989e+001,1.266578e-003,3.078260e-006,3,9.917562e-001,2.430375e-001,,,,,,,,,,,,,,24,3,4.000000e+000,2.910614e-002,0.000000e+000,0,,0,
1357823212.734,,1.000000e+003,6.506905e+001,1.362778e-003,4.686091e-006,3,9.918254e-001,3.438631e-001,,,,,,,,,,,,,,24,3,4.000000e+000,8.483887e-003,0.000000e+000,0,,0,
1357823448.109,,1.000000e+003,6.006718e+001,1.472789e-003,4.153573e-006,3,9.919934e-001,2.820210e-001,,,,,,,,,,,,,,24,3,4.000000e+000,1.342773e-002,0.000000e+000,0,,0,
1357823678.125,,1.000000e+003,5.507532e+001,1.601525e-003,3.360012e-006,3,9.921635e-001,2.098008e-001,,,,,,,,,,,,,,24,3,4.000000e+000,2.287292e-002,0.000000e+000,0,,0,
1357823899.859,,1.000000e+003,5.005209e+001,1.757646e-003,2.447683e-006,3,9.925349e-001,1.392592e-001,,,,,,,,,,,,,,24,3,4.000000e+000,1.570129e-002,0.000000e+000,0,,0,
1357824165.609,,1.000000e+003,4.502026e+001,1.947660e-003,1.243914e-007,3,9.928555e-001,6.386712e-003,,,,,,,,,,,,,,24,3,4.000000e+000,1.580811e-002,0.000000e+000,0,,0,
1357824392.750,,1.000000e+003,4.001042e+001,2.187600e-003,4.369751e-007,3,9.930992e-001,1.997509e-002,,,,,,,,,,,,,,24,3,4.000000e+000,3.349686e-002,0.000000e+000,0,,0,
1357824618.921,,1.000000e+003,3.499920e+001,2.495699e-003,3.177579e-007,3,9.934134e-001,1.273222e-002,,,,,,,,,,,,,,24,3,4.000000e+000,1.898956e-002,0.000000e+000,0,,0,
1357824845.671,,1.000000e+003,3.000181e+001,2.904763e-003,1.211973e-006,3,9.936538e-001,4.172365e-002,,,,,,,,,,,,,,24,3,4.000000e+000,3.326988e-002,0.000000e+000,0,,0,
1357825031.875,,1.000000e+003,2.799402e+001,3.110602e-003,3.587471e-007,3,9.938083e-001,1.153305e-002,,,,,,,,,,,,,,24,3,4.000000e+000,1.791000e-002,0.000000e+000,0,,0,
1357825212.984,,1.000000e+003,2.599068e+001,3.346924e-003,4.696991e-007,3,9.938809e-001,1.403376e-002,,,,,,,,,,,,,,24,3,4.000000e+000,1.454926e-002,0.000000e+000,0,,0,
1357825435.250,,1.000000e+003,2.399115e+001,3.622751e-003,1.600139e-006,3,9.939342e-001,4.416917e-002,,,,,,,,,,,,,,24,3,4.000000e+000,2.457047e-002,0.000000e+000,0,,0,
1357825680.984,,1.000000e+003,2.199773e+001,3.945944e-003,5.085502e-007,3,9.939739e-001,1.288792e-002,,,,,,,,,,,,,,24,3,4.000000e+000,1.231956e-002,0.000000e+000,0,,0,
1357825917.984,,1.000000e+003,1.999850e+001,4.333485e-003,2.653618e-007,3,9.940450e-001,6.123518e-003,,,,,,,,,,,,,,24,3,4.000000e+000,1.023865e-002,0.000000e+000,0,,0,
1357826175.125,,1.000000e+003,1.799949e+001,4.804568e-003,3.137439e-007,3,9.941424e-001,6.530117e-003,,,,,,,,,,,,,,24,3,4.000000e+000,3.839493e-003,0.000000e+000,0,,0,
1357826401.484,,1.000000e+003,1.600102e+001,5.389150e-003,6.518899e-007,3,9.941952e-001,1.209634e-002,,,,,,,,,,,,,,24,3,4.000000e+000,8.080482e-003,0.000000e+000,0,,0,
1357826562.765,,1.000000e+003,1.400773e+001,6.126029e-003,3.355952e-006,3,9.943283e-001,5.478185e-002,,,,,,,,,,,,,,24,3,4.000000e+000,2.708912e-002,0.000000e+000,0,,0,
