Temperature (K),Uncorrected Long Moment (emu),Corrected Long Moment (emu),Chi,ChiT
290.2065,0.00014306633218780473,-0.39989540483712044,-0.0006548622736930026,-0.19004528843048837
280.0525,0.0001495443954489042,-0.39988892811329196,-0.0006548516675143841,-0.18339284661657204
269.59,0.0001548485891880448,-0.3998836073662619,-0.0006548429543447509,-0.17653911206180137
259.576,0.00015998143443479569,-0.39987847045166486,-0.0006548345422161491,-0.16997933113029914
249.6128,0.0001669254177537396,-0.3998715200804893,-0.0006548231604002643,-0.16345224257235907
239.6039,0.00017394385664551258,-0.39986448312889405,-0.0006548116368016788,-0.15689542194306577
229.656,0.0001821056514394106,-0.39985631919766923,-0.0006547982676794045,-0.15037835096218133
219.6075,0.00019036492795976079,-0.3998480368959378,-0.0006547847047154953,-0.14379563204080814
209.6649,0.00019893396079277297,-0.39983946096693995,-0.0006547706609123042,-0.13728242514311217
200.0095,0.00020725547021846298,-0.3998311103718803,-0.0006547569861123409,-0.13095761741383624
189.8245,0.00022086331985076574,-0.3998174857666714,-0.0006547346746783075,-0.12428468225347238
179.7657,0.00023433544634527764,-0.3998039982729282,-0.0006547125877758019,-0.11769486664032848
169.825,0.0002484348087855686,-0.39978986721254595,-0.0006546894469789343,-0.11118263533319751
159.9261,0.0002625501030553877,-0.3997757423670386,-0.0006546663163594457,-0.10469823077673235
149.9022,0.00028122364860444325,-0.3997570570573677,-0.0006546357175973001,-0.098131334266414
139.9376,0.00029986601157781047,-0.39973837620685126,-0.000654605126137394,-0.09160387029936419
129.9435,0.0003241199420884462,-0.399714104166022,-0.000654565378634291,-0.08505651627856499
119.9715,0.0003484167261801909,-0.3996897963726344,-0.0006545255725833744,-0.0785244147311863
109.9962,0.0003815286484305,-0.3996566536070697,-0.0006544712985243288,-0.07198935584674178
100.0046,0.0004147863190244292,-0.3996233825402418,-0.0006544168143612013,-0.06544469175346619
90.03703,0.00045726056516348076,-0.39958087560652866,-0.0006543472056912282,-0.05891547898923728
80.01647,0.0005098979958989517,-0.39952818893404224,-0.0006542609268450088,-0.052351649825065835
75.0539,0.0005415215489125166,-0.39949656131382966,-0.0006542091339635869,-0.049100946919589654
70.06837,0.0005733246581219075,-0.399464732080434,-0.0006541570109236636,-0.045835715479493305
65.06059,0.0006156874345014643,-0.3994223318977133,-0.0006540875770673963,-0.04255532367567527
60.06941,0.0006579368172922558,-0.3993800663402518,-0.0006540183636712848,-0.03928649723489951
55.06784,0.000713014206378926,-0.3993249640224868,-0.000653928129003267,-0.036010409579451265
50.04877,0.0007682843058163493,-0.39926965381518553,-0.0006538375538986931,-0.03272376535243829
45.01579,0.0008379033200529753,-0.39920000864604316,-0.0006537235040915069,-0.029427879978247414
40.00419,0.0009210502694916504,-0.3991168049580427,-0.000653587251072231,-0.026146228573471233
34.99456,0.0010209699682530808,-0.39901682759039503,-0.0006534235297453448,-0.022866268917085254
29.99442,0.0011424662339847773,-0.39889524045482816,-0.000653224420610591,-0.019593087626050727
27.98761,0.00120360579024878,-0.3988340656898927,-0.0006531242418008981,-0.018279386561069234
25.99094,0.0012644406563614911,-0.39877318204073037,-0.0006530245397177061,-0.016972721630330513
24.02978,0.001332460261730129,-0.39870510500089773,-0.000652913057853819,-0.015689357139354543
21.99895,0.001411759187005826,-0.39862573845594607,-0.0006527830884781936,-0.014360542524277358
20.00061,0.0014897894575530586,-0.3985476203158441,-0.0006526551634702414,-0.013053501389054546
18.02399,0.0015912050737953733,-0.3984461273180429,-0.0006524889601718286,-0.011760454493247438
16.02115,0.0016940347403776499,-0.39834316868774344,-0.0006523203567772443,-0.010450922283981747
15.01154,0.001759643612058834,-0.39827753862793286,-0.0006522128820484269,-0.009790719767385242
14.00965,0.0018254529170717983,-0.39821169016251656,-0.0006521050496621076,-0.009135763508998746
13.00906,0.0019067440332314952,-0.39813029478799905,-0.0006519717579078642,-0.008481539716928879
12.00741,0.0019883564529924362,-0.398048574045002,-0.0006518379333354395,-0.00782688531911129
11.00945,0.0021047280422152636,-0.39793212746312995,-0.0006516472422886155,-0.007174277731614397
10.00503,0.0022227499856292757,-0.3978139780950312,-0.000651453762786494,-0.0065178144402917556
9.00649,0.0024288536022716053,-0.39760771009952006,-0.0006511159816394826,-0.005864269577476183
8.00759,0.002637291093606198,-0.3973990874326528,-0.0006507743445205858,-0.005211134133439598
7.00894,0.0030265560576966575,-0.39700960816370656,-0.000650136539543251,-0.004556767997466273
6.00407,0.0037120241255194373,-0.39632368634401266,-0.0006490132850197254,-0.0038967211941883825
5.504,0.004417858246543505,-0.39561763074640927,-0.0006478570597457977,-0.00356580525684087
5.00319,0.005166768817060719,-0.3948685612442022,-0.0006466303955945324,-0.0032352147289346086
4.5147,0.007029995759608639,-0.393004949915487,-0.000643578575700529,-0.0029055641957151787
4.00253,0.009004763198228736,-0.39102982096948014,-0.0006403441363527056,-0.002562996616075795
3.49655,0.013396483339704618,-0.38663774060393,-0.0006331517362909994,-0.002213846703528294
3.00006,0.021488150579720606,-0.37854561583795526,-0.0006199002031171885,-0.0018597378033637525
2.49943,0.03477965321797709,-0.3652537707497422,-0.0005981336916975644,-0.0014949932930396433
