[Header]
TITLE,MPMS RSO Measurement
BYAPP,MPMS Measurement,1.1,Summary
FILEOPENTIME, 1369560420.078000 5/26/2013, 10:27:00 AM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.56,  Build 67

INFO, NAME, JPSW-RM-5
INFO, WEIGHT, 9.850
INFO, AREA, 1.000
INFO, LENGTH, 1.000
INFO, SHAPE, 0
INFO, COMMENT, JPSW, 13.19 mg eico
INFO, SEQUENCE FILE: Chi_T_Mag_RSO_rapid.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,10,11,19,20,21,22,23,35
FIELDGROUP,Transverse,1,2,3,4,12,13,14,15,16,17,18,24,25,26,27,28,35

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Offset (cm),Long Offset Std Dev,Long Algorithm,Long Reg Fit,Long Reg Factor,Trans Moment (emu),Trans Scan Std Dev,Trans Offset (cm),Trans Offset Std Dev,Trans Algorithm,Trans Reg Fit,Trans Reg Factor,Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Offset [w/o ABS] (cm),Long Offset Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Offset [w/o ABS] (cm),Trans Offset Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],RSO Position (deg),Amplitude (cm),Frequency,Cycles to Average,Scans per Measurement,Delta Temp (K),Error,EC Comp. Running,Using ABS,
1369560420.078,,1.000000e+003,3.000039e+002,1.367679e-004,2.137174e-008,-6.150879e-003,3.302411e-004,3,9.826341e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,3,0.000000e+000,0,,0,
1369560880.062,,1.000000e+003,2.804176e+002,1.493593e-004,3.189916e-006,-1.993657e-003,1.445215e-003,3,9.677596e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,3,4.150391e-002,0,,0,
1369561255.062,,1.000000e+003,2.598709e+002,1.597759e-004,5.718412e-009,-8.275565e-003,2.491809e-004,3,9.836692e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,3,1.957092e-001,0,,0,
1369561663.031,,1.000000e+003,2.399489e+002,1.736608e-004,1.524491e-008,-1.139979e-002,1.327864e-004,3,9.842581e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,3,2.059021e-001,0,,0,
1369562024.453,,1.000000e+003,2.199685e+002,1.900538e-004,4.271170e-008,-1.240437e-002,1.573112e-004,3,9.846078e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,3,1.744080e-001,0,,0,
1369562404.421,,1.000000e+003,1.999880e+002,2.072740e-004,3.846734e-006,-4.515268e-003,1.521128e-002,3,9.656387e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,3,1.295013e-001,0,,0,
1369562803.187,,1.000000e+003,1.800462e+002,2.339376e-004,1.605646e-006,-1.022076e-002,7.068201e-003,3,9.651867e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,3,6.208801e-002,0,,0,
1369563210.375,,1.000000e+003,1.600953e+002,2.622349e-004,5.618937e-008,-1.430225e-002,5.589649e-005,3,9.860947e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,3,3.601074e-003,0,,0,
1369563623.109,,1.000000e+003,1.400782e+002,2.995248e-004,8.586110e-008,-1.354719e-002,1.025407e-004,3,9.866734e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,3,1.119995e-002,0,,0,
1369564049.484,,1.000000e+003,1.200796e+002,3.480579e-004,1.678368e-007,-1.307069e-002,1.257986e-004,3,9.868080e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,3,1.710510e-002,0,,0,
1369564456.671,,1.000000e+003,1.001019e+002,4.143717e-004,7.878420e-008,-1.255365e-002,1.260634e-004,3,9.871358e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,3,1.229858e-002,0,,0,
1369564798.875,,1.000000e+003,8.995789e+001,4.575978e-004,2.689237e-007,-1.329754e-002,9.337183e-005,3,9.874130e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,3,8.129120e-002,0,,0,
